stat,stat_label,rank,Player,Span,Mat,Inns,NO,Runs,HS,Ave,BF,SR,100s,50s,Ducks,4s,6s,Balls,Overs,Mdns,Wkts,BBI,Econ,4w,5w,Team,Opposition,Ground,Match Date,Match ID,10w,Series
most_runs_conceded,Most Runs Conceded (innings),12,AF Milne,,,,,79,,,,,,,,,,,10.0,0.0,3.0,,7.9,,,New Zealand,v England,Cardiff,6 Jun 2017,3880.0,,
most_runs_conceded,Most Runs Conceded (innings),13,M Jansen,,,,,79,,,,,,,,,,,10.0,0.0,0.0,,7.9,,,South Africa,v New Zealand,Lahore,5 Mar 2025,4855.0,,
most_runs_conceded,Most Runs Conceded (innings),14,CO Obuya,,,,,77,,,,,,,,,,,10.0,0.0,2.0,,7.7,,,Kenya,v South Africa,Colombo (RPS),20 Sep 2002,1882.0,,
most_runs_conceded,Most Runs Conceded (innings),15,RW Staple,,,,,76,,,,,,,,,,,10.0,0.0,2.0,,7.6,,,U.S.A.,v New Zealand,The Oval,10 Sep 2004,2169.0,,
most_runs_conceded,Most Runs Conceded (innings),16,UT Yadav,,,,,75,,,,,,,,,,,10.0,0.0,2.0,,7.5,,,India,v South Africa,Cardiff,6 Jun 2013,3363.0,,
most_runs_conceded,Most Runs Conceded (innings),17,MA Starc,,,,,75,,,,,,,,,,,10.0,0.0,1.0,,7.5,,,Australia,v England,Birmingham,8 Jun 2013,3365.0,,
most_runs_conceded,Most Runs Conceded (innings),18,MA Wood,,,,,75,,,,,,,,,,,9.3,0.0,1.0,,7.89,,,England,v Australia,Lahore,22 Feb 2025,4846.0,,
most_runs_conceded,Most Runs Conceded (innings),19,Shaheen Shah Afridi,,,,,74,,,,,,,,,,,8.0,0.0,2.0,,9.25,,,Pakistan,v India,Dubai (DICS),23 Feb 2025,4847.0,,
most_runs_conceded,Most Runs Conceded (innings),20,Mohammed Shami,,,,,74,,,,,,,,,,,9.0,0.0,1.0,,8.22,,,India,v New Zealand,Dubai (DICS),9 Mar 2025,4858.0,,
most_five_wicket_hauls,Most Five-Wicket Hauls (career),1,Azmatullah Omarzai (AFG),2025-2025,3.0,3.0,,140,,20.0,,17.85,,,,,,125.0,20.5,0.0,7.0,5/58,6.72,0.0,1.0,,,,,,0.0,
most_five_wicket_hauls,Most Five-Wicket Hauls (career),2,SB O'Connor (NZ),2000-2000,3.0,3.0,,103,,20.6,,25.6,,,,,,128.0,21.2,0.0,5.0,5/46,4.82,0.0,1.0,,,,,,0.0,
most_five_wicket_hauls,Most Five-Wicket Hauls (career),3,JR Hazlewood (AUS),2017-2017,3.0,3.0,,142,,15.77,,18.66,,,,,,168.0,28.0,0.0,9.0,6/52,5.07,0.0,1.0,,,,,,0.0,
most_five_wicket_hauls,Most Five-Wicket Hauls (career),4,CV Varun (IND),2025-2025,3.0,3.0,,136,,15.11,,20.0,,,,,,180.0,30.0,0.0,9.0,5/42,4.53,0.0,1.0,,,,,,0.0,
most_five_wicket_hauls,Most Five-Wicket Hauls (career),5,MJ Henry (NZ),2025-2025,4.0,4.0,,167,,16.7,,18.8,,,,,,188.0,31.2,1.0,10.0,5/42,5.32,0.0,1.0,,,,,,0.0,
most_five_wicket_hauls,Most Five-Wicket Hauls (career),6,Mohammed Shami (IND),2025-2025,5.0,5.0,,233,,25.88,,27.33,,,,,,246.0,41.0,0.0,9.0,5/53,5.68,0.0,1.0,,,,,,0.0,
most_five_wicket_hauls,Most Five-Wicket Hauls (career),7,WD Parnell (SA),2009-2017,5.0,5.0,,275,,25.0,,22.9,,,,,,252.0,42.0,2.0,11.0,5/57,6.54,0.0,1.0,,,,,,0.0,
most_five_wicket_hauls,Most Five-Wicket Hauls (career),8,MF Maharoof (SL),2004-2006,8.0,8.0,,247,,15.43,,20.62,,,,,,330.0,55.0,4.0,16.0,6/14,4.49,0.0,1.0,,,,,,0.0,
most_five_wicket_hauls,Most Five-Wicket Hauls (career),9,M Ntini (SA),2002-2006,8.0,8.0,,248,,15.5,,21.37,,,,,,342.0,57.0,7.0,16.0,5/21,4.35,0.0,1.0,,,,,,0.0,
most_five_wicket_hauls,Most Five-Wicket Hauls (career),10,JDP Oram (NZ),2002-2006,8.0,8.0,,270,,18.0,,25.86,,,,,,388.0,64.4,7.0,15.0,5/36,4.17,0.0,1.0,,,,,,0.0,
most_five_wicket_hauls,Most Five-Wicket Hauls (career),11,M Dillon (WI),1998-2004,7.0,7.0,,317,,16.68,,21.47,,,,,,408.0,68.0,10.0,19.0,5/29,4.66,1.0,1.0,,,,,,0.0,
most_five_wicket_hauls,Most Five-Wicket Hauls (career),12,Shahid Afridi (PAK),1998-2009,13.0,12.0,,427,,30.5,,42.28,,,,,,592.0,98.4,4.0,14.0,5/11,4.32,0.0,1.0,,,,,,0.0,
