player,inns,overs,mdns,runs,wkts,bbi,bbm,5,10,team,avg,cycle
Shadab Khan,2,11.3,0,47,2,2/13,2/47,0,0,PAK,23.5,2019-2021
Asad Shafiq,3,12.0,0,44,1,1/24,1/24,0,0,PAK,44.0,2019-2021
J Blackwood,3,11.0,1,36,1,1/16,1/33,0,0,WI,36.0,2019-2021
NE Bonner,3,8.0,0,46,1,1/16,1/29,0,0,WI,46.0,2019-2021
D Elgar,4,7.1,0,42,1,1/4,1/4,0,0,SA,42.0,2019-2021
Imran Khan,1,24.0,3,73,1,1/73,1/73,0,0,PAK,73.0,2019-2021
DJ Mitchell,4,14.0,2,41,1,1/7,1/7,0,0,NZ,41.0,2019-2021
CAK Rajitha,2,8.1,2,21,1,1/5,1/5,0,0,SL,21.0,2019-2021
JA Raval,1,13.0,1,33,1,1/33,1/33,0,0,NZ,33.0,2019-2021
Saif Hassan,2,6.0,0,27,1,1/22,1/22,0,0,BDESH,27.0,2019-2021
Shoriful Islam,2,30.0,6,99,1,1/91,1/99,0,0,BDESH,99.0,2019-2021
Soumya Sarkar,1,11.0,1,48,1,1/48,1/48,0,0,BDESH,48.0,2019-2021
Usman Shinwari,1,15.0,4,54,1,1/54,1/54,0,0,PAK,54.0,2019-2021
KS Williamson,3,8.0,1,26,1,1/16,1/16,0,0,NZ,26.0,2019-2021
Azhar Ali,2,1.1,0,9,0,-,-,0,0,PAK,,2019-2021
TA Blundell,1,3.0,0,13,0,-,-,0,0,NZ,,2019-2021
JD Campbell,1,6.0,0,20,0,-,-,0,0,WI,,2019-2021
ML Cummins,2,20.0,2,69,0,-,-,0,0,WI,,2019-2021
LH Ferguson,1,11.0,1,47,0,-,-,0,0,NZ,,2019-2021
BOP Fernando,1,1.0,0,3,0,-,-,0,0,SL,,2019-2021
C Green,6,44.0,7,118,0,-,-,0,0,AUS,,2019-2021
TM Head,4,10.0,3,31,0,-,-,0,0,AUS,,2019-2021
Iftikhar Ahmed,2,27.0,0,128,0,-,-,0,0,PAK,,2019-2021
FDM Karunaratne,3,8.5,0,53,0,-,-,0,0,SL,,2019-2021
V Kohli,2,2.0,0,8,0,-,-,0,0,INDIA,,2019-2021
DW Lawrence,2,3.0,0,17,0,-,-,0,0,ENG,,2019-2021
Mahmudullah,2,5.0,0,30,0,-,-,0,0,BDESH,,2019-2021
PJ Malan,1,2.0,0,5,0,-,-,0,0,SA,,2019-2021
AK Markram,3,8.0,2,33,0,-,-,0,0,SA,,2019-2021
AD Mathews,2,9.0,1,21,0,-,-,0,0,SL,,2019-2021
