stat,stat_label,rank,Player,Span,Mat,Inns,NO,Runs,HS,Ave,BF,SR,100s,50s,Ducks,4s,6s,Balls,Overs,Mdns,Wkts,BBI,Econ,4w,5w,Team,Opposition,Ground,Match Date,Match ID,10w
best_bowling_match,Best Bowling Figures (match),10,MJ Henry,,,,,109,,,,,,,,,,,42.1,9.0,11.0,,2.58,,,New Zealand,v England,The Oval,17 Jun 2026,2622.0,
best_bowling_match,Best Bowling Figures (match),11,Washington Sundar,,,,,115,,,,,,,,,,,42.1,4.0,11.0,,2.72,,,India,v New Zealand,Pune,24 Oct 2024,2557.0,
best_bowling_match,Best Bowling Figures (match),12,KA Jamieson,,,,,117,,,,,,,,,,,41.0,14.0,11.0,,2.85,,,New Zealand,v Pakistan,Christchurch,3 Jan 2021,2400.0,
best_bowling_match,Best Bowling Figures (match),13,RTM Mendis,,,,,136,,,,,,,,,,,59.2,14.0,11.0,,2.29,,,Sri Lanka,v West Indies,Galle,29 Nov 2021,2437.0,
best_bowling_match,Best Bowling Figures (match),14,Noman Ali,,,,,147,,,,,,,,,,,44.3,6.0,11.0,,3.3,,,Pakistan,v England,Multan,15 Oct 2024,2554.0,
best_bowling_match,Best Bowling Figures (match),15,AY Patel,,,,,160,,,,,,,,,,,35.5,4.0,11.0,,4.46,,,New Zealand,v India,Wankhede,1 Nov 2024,2560.0,
best_bowling_match,Best Bowling Figures (match),16,S Muthusamy,,,,,174,,,,,,,,,,,49.0,7.0,11.0,,3.55,,,South Africa,v Pakistan,Lahore,12 Oct 2025,2602.0,
best_bowling_match,Best Bowling Figures (match),17,P Jayawickrama,,,,,178,,,,,,,,,,,64.0,17.0,11.0,,2.78,,,Sri Lanka,v Bangladesh,Pallekele,29 Apr 2021,2419.0,
best_bowling_match,Best Bowling Figures (match),18,Abrar Ahmed,,,,,234,,,,,,,,,,,51.0,4.0,11.0,,4.58,,,Pakistan,v England,Multan,9 Dec 2022,2480.0,
best_bowling_match,Best Bowling Figures (match),19,MA Starc,,,,,51,,,,,,,,,,,20.0,9.0,10.0,,2.55,,,Australia,v Bangladesh,Mackay,22 Aug 2026,2632.0,
