match_id,year,match_date,team1,team2,toss,winner,margin,player_of_match,ground,match_no,team1_avg_batting_ranking,team2_avg_batting_ranking,team1_avg_bowling_ranking,team2_avg_bowling_ranking,team1_total_cts_participated,team1_total_cts_won,team2_total_cts_participated,team2_total_cts_won,team1_wl_ratio_over_team2
CT-2009-78,2009,2009-09-27,New Zealand,Sri Lanka,"Sri Lanka, elected to field first",New Zealand,38 runs,Daniel Vettori,Johannesburg,ODI # 2899,84.6,74.07,76.0,76.0,5,1,5,1,1.096
CT-2009-79,2009,2009-09-28,Australia,India,"Australia, elected to bat first",no result,-,,Centurion,ODI # 2901,82.47,73.93,74.13,82.67,5,1,5,1,1.781
CT-2009-80,2009,2009-09-29,England,New Zealand,"New Zealand, elected to field first",New Zealand,4 wickets,Grant Elliott,Johannesburg,ODI # 2902,80.0,84.2,80.2,75.6,5,0,5,1,0.852
CT-2009-81,2009,2009-09-30,Australia,Pakistan,"Australia, elected to field first",Australia,2 wickets,Michael Hussey,Centurion,ODI # 2903,80.53,77.33,74.2,68.0,5,1,5,0,1.586
CT-2009-82,2009,2009-09-30,India,West Indies,"India, elected to field first",India,7 wickets,Virat Kohli,Johannesburg,ODI # 2904,73.93,101.0,82.47,97.6,5,1,5,1,0.685
CT-2009-83,2009,2009-10-02,Australia,England,"England, elected to bat first",Australia,9 wickets,Shane Watson,Centurion,ODI # 2905,80.6,79.87,74.2,80.33,5,1,5,0,1.526
CT-2009-84,2009,2009-10-03,New Zealand,Pakistan,"Pakistan, elected to bat first",New Zealand,5 wickets,Daniel Vettori,Johannesburg,ODI # 2906,84.0,76.13,75.53,67.67,5,1,5,0,0.617
CT-2009-85,2009,2009-10-05,Australia,New Zealand,"New Zealand, elected to bat first",Australia,6 wickets,Shane Watson,Centurion,ODI # 2907,80.27,82.6,73.93,75.67,5,1,5,1,2.5
CT-2013-86,2013,2013-06-06,India,South Africa,"South Africa, elected to field first",India,26 runs,Shikhar Dhawan,Cardiff,ODI # 3363,76.2,85.67,83.07,80.27,6,1,6,1,0.6
CT-2013-87,2013,2013-06-07,Pakistan,West Indies,"West Indies, elected to field first",West Indies,2 wickets,Kemar Roach,The Oval,ODI # 3364,79.4,76.47,77.73,73.27,6,0,6,1,0.787
CT-2013-88,2013,2013-06-08,England,Australia,"England, elected to bat first",England,48 runs,Ian Bell,Birmingham,ODI # 3365,70.87,73.87,67.67,74.4,6,0,6,2,0.686
CT-2013-89,2013,2013-06-09,New Zealand,Sri Lanka,"Sri Lanka, elected to bat first",New Zealand,1 wicket,Nathan McCullum,Cardiff,ODI # 3366,77.6,78.47,77.2,74.53,6,1,6,1,0.945
CT-2013-90,2013,2013-06-10,Pakistan,South Africa,"South Africa, elected to bat first",South Africa,67 runs,Hashim Amla,Birmingham,ODI # 3367,79.93,85.87,76.87,80.6,6,0,6,1,0.487
