match_id,year,stage,match_number,match_date,ground,country,team1,team1_score,team1_wickets,team1_overs,team2,team2_score,team2_wickets,team2_overs,winner,win_margin,toss
ODIWC-1992-37,1992,tournament semi-finals,37,1992-03-21,"Eden Park, Auckland",New Zealand,New Zealand,262,7,50.0,Pakistan,264,6,49.0,Pakistan,4 wickets,New Zealand
ODIWC-1992-38,1992,tournament semi-finals,38,1992-03-22,Sydney Cricket Ground,Australia,England,252,6,45.0,South Africa,232,6,43.0,England,19 runs,South Africa
ODIWC-1992-39,1992,tournament finals,39,1992-03-25,Melbourne Cricket Ground,Australia,Pakistan,249,6,50.0,England,227,10,49.2,Pakistan,22 runs,Pakistan
ODIWC-1996-1,1996,Group B,1,1996-02-14,"Gujarat Stadium, Motera, Ahmedabad",India,New Zealand,239,6,50.0,England,228,9,50.0,New Zealand,11 runs,England
ODIWC-1996-2,1996,Group B,2,1996-02-16,Rawalpindi Cricket Stadium,Pakistan,South Africa,321,2,50.0,United Arab Emirates,152,8,50.0,South Africa,169 runs,United Arab Emirates
ODIWC-1996-3,1996,Group A,3,1996-02-16,"Lal Bahadur Shastri Stadium, Hyderabad, Deccan",India,Zimbabwe,151,9,50.0,West Indies,155,4,29.3,West Indies,6 wickets,Zimbabwe
ODIWC-1996-4,1996,Group B,4,1996-02-17,"Indian Petrochemicals Corporation Limited Sports Complex Ground, Baroda",India,New Zealand,307,8,50.0,Netherlands,188,7,50.0,New Zealand,119 runs,New Zealand
ODIWC-1996-5,1996,Group A,5,1996-02-17,"R Premadasa Stadium, Colombo",Sri Lanka,Sri Lanka,0,0,0.0,Australia,0,0,0.0,Sri Lanka,Walkover,
ODIWC-1996-6,1996,Group A,6,1996-02-18,"Barabati Stadium, Cuttack",India,Kenya,199,6,50.0,India,203,3,41.5,India,7 wickets,India
ODIWC-1996-7,1996,Group B,7,1996-02-18,"Arbab Niaz Stadium, Peshawar",Pakistan,United Arab Emirates,136,10,48.3,England,140,2,35.0,England,8 wickets,United Arab Emirates
ODIWC-1996-8,1996,Group B,8,1996-02-20,"Iqbal Stadium, Faisalabad",Pakistan,New Zealand,177,9,50.0,South Africa,178,5,37.3,South Africa,5 wickets,New Zealand
