match_id,year,match_date,team1,team2,winner,team1_score,team2_score,margin,ground,host_country,match_no,team1_avg_batting_ranking,team2_avg_batting_ranking,team1_avg_bowling_ranking,team2_avg_bowling_ranking,team1_total_wcs_participated,team1_total_wcs_won,team2_total_wcs_participated,team2_total_wcs_won,team1_win_pct_over_team2
T20WC-2021-194,2021,2021-10-24,India,Pakistan,Pakistan,151-7 (20),152-0 (17.5),10 wickets,Dubai (DICS),UAE,T20I # 1361,84.33,81.47,85.33,88.93,6,1,6,1,75.0
T20WC-2021-195,2021,2021-10-25,Afghanistan,Scotland,Afghanistan,190-4 (20),60 (10.2),130 runs,Sharjah,UAE,T20I # 1364,81.6,86.0,83.07,87.47,4,0,3,0,100.0
T20WC-2021-196,2021,2021-10-26,South Africa,West Indies,South Africa,144-2 (18.2),143-8 (20),8 wickets,Dubai (DICS),UAE,T20I # 1366,71.73,84.67,83.6,91.6,6,0,6,2,60.0
T20WC-2021-197,2021,2021-10-26,New Zealand,Pakistan,Pakistan,134-8 (20),135-5 (18.4),5 wickets,Sharjah,UAE,T20I # 1367,76.67,81.13,82.07,88.13,6,0,6,1,41.66
T20WC-2021-198,2021,2021-10-27,Namibia,Scotland,Namibia,115-6 (19.1),109-8 (20),4 wickets,Abu Dhabi,UAE,T20I # 1371,92.0,86.13,94.6,87.67,0,0,3,0,100.0
T20WC-2021-199,2021,2021-10-27,Bangladesh,England,England,124-9 (20),126-2 (14.1),8 wickets,Abu Dhabi,UAE,T20I # 1369,84.0,73.07,83.33,76.73,6,0,6,1,0.0
T20WC-2021-200,2021,2021-10-28,Australia,Sri Lanka,Australia,155-3 (17),154-6 (20),7 wickets,Dubai (DICS),UAE,T20I # 1374,84.44,96.71,77.67,93.07,6,0,6,1,50.0
T20WC-2021-201,2021,2021-10-29,Afghanistan,Pakistan,Pakistan,147-6 (20),148-5 (19),5 wickets,Dubai (DICS),UAE,T20I # 1377,84.33,81.53,83.27,88.33,4,0,6,1,0.0
T20WC-2021-202,2021,2021-10-29,Bangladesh,West Indies,West Indies,139-5 (20),142-7 (20),3 runs,Sharjah,UAE,T20I # 1375,84.4,84.67,83.07,91.07,6,0,6,2,41.66
T20WC-2021-203,2021,2021-10-30,Australia,England,England,125 (20),126-2 (11.4),8 wickets,Dubai (DICS),UAE,T20I # 1379,83.83,73.93,76.72,77.27,6,0,6,1,53.63
T20WC-2021-204,2021,2021-10-30,South Africa,Sri Lanka,South Africa,146-6 (19.5),142 (20),4 wickets,Sharjah,UAE,T20I # 1378,72.33,95.86,81.93,94.21,6,0,6,1,62.5
T20WC-2021-205,2021,2021-10-31,Afghanistan,Namibia,Afghanistan,160-5 (20),98-9 (20),62 runs,Abu Dhabi,UAE,T20I # 1380,84.8,92.27,83.8,94.13,4,0,0,0,0.0
T20WC-2021-206,2021,2021-10-31,India,New Zealand,New Zealand,110-7 (20),111-2 (14.3),8 wickets,Dubai (DICS),UAE,T20I # 1381,83.6,76.67,86.33,82.2,6,1,6,0,37.5
T20WC-2021-207,2021,2021-11-01,England,Sri Lanka,England,163-4 (20),137 (19),26 runs,Sharjah,UAE,T20I # 1382,74.2,95.5,77.87,94.36,6,1,6,1,66.66
T20WC-2021-208,2021,2021-11-02,Namibia,Pakistan,Pakistan,144-5 (20),189-2 (20),45 runs,Abu Dhabi,UAE,T20I # 1386,93.13,81.13,95.6,87.67,0,0,6,1,0.0
T20WC-2021-209,2021,2021-11-02,Bangladesh,South Africa,South Africa,84 (18.2),86-4 (13.3),6 wickets,Abu Dhabi,UAE,T20I # 1384,84.73,70.2,83.8,79.8,6,0,6,0,0.0
T20WC-2021-210,2021,2021-11-03,New Zealand,Scotland,New Zealand,172-5 (20),156-5 (20),16 runs,Dubai (DICS),UAE,T20I # 1388,76.73,86.67,79.33,87.53,6,0,3,0,100.0
T20WC-2021-211,2021,2021-11-03,Afghanistan,India,India,144-7 (20),210-2 (20),66 runs,Abu Dhabi,UAE,T20I # 1390,85.07,84.33,83.87,86.67,4,0,6,1,0.0
T20WC-2021-212,2021,2021-11-04,Australia,Bangladesh,Australia,78-2 (6.2),73 (15),8 wickets,Dubai (DICS),UAE,T20I # 1391,83.83,85.67,77.67,83.87,6,0,6,0,55.55
T20WC-2021-213,2021,2021-11-04,Sri Lanka,West Indies,Sri Lanka,189-3 (20),169-8 (20),20 runs,Abu Dhabi,UAE,T20I # 1392,95.5,84.2,93.07,89.8,6,1,6,2,50.0
T20WC-2021-214,2021,2021-11-05,Namibia,New Zealand,New Zealand,111-7 (20),163-4 (20),52 runs,Sharjah,UAE,T20I # 1394,91.67,76.93,95.53,79.07,0,0,6,0,0.0
T20WC-2021-215,2021,2021-11-05,India,Scotland,India,89-2 (6.3),85 (17.4),8 wickets,Dubai (DICS),UAE,T20I # 1396,84.67,87.07,86.67,87.73,6,1,3,0,100.0
T20WC-2021-216,2021,2021-11-06,Australia,West Indies,Australia,161-2 (16.2),157-7 (20),8 wickets,Abu Dhabi,UAE,T20I # 1398,83.94,82.07,76.61,89.47,6,0,6,2,37.5
T20WC-2021-217,2021,2021-11-06,England,South Africa,South Africa,179-8 (20),189-2 (20),10 runs,Sharjah,UAE,T20I # 1400,74.6,70.07,76.33,74.2,6,1,6,0,52.38
T20WC-2021-218,2021,2021-11-07,Afghanistan,New Zealand,New Zealand,124-8 (20),125-2 (18.1),8 wickets,Abu Dhabi,UAE,T20I # 1402,85.4,76.8,83.93,78.8,4,0,6,0,0.0
T20WC-2021-219,2021,2021-11-07,Pakistan,Scotland,Pakistan,189-4 (20),117-6 (20),72 runs,Sharjah,UAE,T20I # 1406,81.33,87.87,87.2,89.8,6,1,3,0,100.0
T20WC-2021-220,2021,2021-11-08,India,Namibia,India,136-1 (15.1),132-8 (20),9 wickets,Dubai (DICS),UAE,T20I # 1410,85.2,91.87,86.93,95.27,6,1,0,0,0.0
T20WC-2021-221,2021,2021-11-10,England,New Zealand,New Zealand,166-4 (20),167-5 (19),5 wickets,Abu Dhabi,UAE,T20I # 1415,74.13,76.27,73.87,78.07,6,1,6,0,57.14
T20WC-2021-222,2021,2021-11-11,Australia,Pakistan,Australia,177-5 (19),176-4 (20),5 wickets,Dubai (DICS),UAE,T20I # 1420,82.67,81.13,76.94,87.07,6,0,6,1,39.13
T20WC-2021-223,2021,2021-11-14,Australia,New Zealand,Australia,173-2 (18.5),172-4 (20),8 wickets,Dubai (DICS),UAE,T20I # 1428,81.94,75.67,76.33,77.8,6,0,6,0,64.28
T20WC-2022-224,2022,2022-10-16,Namibia,Sri Lanka,Namibia,163-7 (20),108 (19),55 runs,Geelong,Australia,T20I # 1823,97.69,80.85,95.25,86.92,1,0,7,1,0.0
T20WC-2022-225,2022,2022-10-16,Netherlands,UAE,Netherlands,112-7 (19.5),111-8 (20),3 wickets,Geelong,Australia,T20I # 1825,97.62,92.13,97.19,97.73,4,0,1,0,55.55
T20WC-2022-226,2022,2022-10-17,Scotland,West Indies,Scotland,160-5 (20),118 (18.3),42 runs,Hobart,Australia,T20I # 1826,92.87,82.0,94.0,81.87,4,0,7,2,0.0
T20WC-2022-227,2022,2022-10-17,Ireland,Zimbabwe,Zimbabwe,143-9 (20),174-7 (20),31 runs,Hobart,Australia,T20I # 1828,94.67,98.0,98.13,90.8,6,0,5,0,62.5
T20WC-2022-228,2022,2022-10-18,Namibia,Netherlands,Netherlands,121-6 (20),122-5 (19.3),5 wickets,Geelong,Australia,T20I # 1830,97.19,97.5,94.0,96.88,1,0,4,0,0.0
T20WC-2022-229,2022,2022-10-18,Sri Lanka,UAE,Sri Lanka,152-8 (20),73 (17.1),79 runs,Geelong,Australia,T20I # 1832,81.15,92.53,87.54,97.53,7,1,1,0,100.0
T20WC-2022-230,2022,2022-10-19,Ireland,Scotland,Ireland,180-4 (19),176-5 (20),6 wickets,Hobart,Australia,T20I # 1833,95.2,92.87,98.2,93.73,6,0,4,0,53.84
T20WC-2022-231,2022,2022-10-19,West Indies,Zimbabwe,West Indies,153-7 (20),122 (18.2),31 runs,Hobart,Australia,T20I # 1834,82.4,97.67,81.27,90.13,7,2,5,0,66.66
T20WC-2022-232,2022,2022-10-20,Netherlands,Sri Lanka,Sri Lanka,146-9 (20),162-6 (20),16 runs,Geelong,Australia,T20I # 1835,96.56,81.23,96.5,88.08,4,0,7,1,0.0
T20WC-2022-233,2022,2022-10-20,Namibia,UAE,UAE,141-8 (20),148-3 (20),7 runs,Geelong,Australia,T20I # 1836,97.31,92.73,93.81,97.67,1,0,1,0,100.0
T20WC-2022-234,2022,2022-10-21,Scotland,Zimbabwe,Zimbabwe,132-6 (20),133-5 (18.3),5 wickets,Hobart,Australia,T20I # 1838,92.87,97.67,94.0,89.73,4,0,5,0,28.57
T20WC-2022-235,2022,2022-10-21,Ireland,West Indies,Ireland,146-5 (20),150-1 (17.3),9 wickets,Hobart,Australia,T20I # 1837,95.33,82.47,98.13,79.6,6,0,7,2,28.57
T20WC-2022-236,2022,2022-10-22,Australia,New Zealand,New Zealand,111 (17.1),200-3 (20),89 runs,Sydney,Australia,T20I # 1839,74.87,70.47,72.53,70.07,7,1,7,0,66.66
T20WC-2022-237,2022,2022-10-22,Afghanistan,England,England,112 (19.4),113-5 (18.1),5 wickets,Perth,Australia,T20I # 1840,88.47,81.73,83.67,73.13,5,0,7,1,0.0
T20WC-2022-238,2022,2022-10-23,Ireland,Sri Lanka,Sri Lanka,128-8 (20),133-1 (15),9 wickets,Hobart,Australia,T20I # 1841,94.47,80.31,97.93,87.85,6,0,7,1,0.0
T20WC-2022-239,2022,2022-10-23,India,Pakistan,India,160-6 (20),159-8 (20),4 wickets,Melbourne,Australia,T20I # 1842,78.47,86.13,72.93,85.4,7,1,7,1,63.63
T20WC-2022-240,2022,2022-10-24,Bangladesh,Netherlands,Bangladesh,144-8 (20),135 (20),9 runs,Hobart,Australia,T20I # 1843,98.07,96.44,85.73,96.38,7,0,4,0,66.66
T20WC-2022-241,2022,2022-10-24,South Africa,Zimbabwe,no result,,,-,Hobart,Australia,T20I # 1844,65.64,97.6,70.71,89.2,7,0,5,0,100.0
T20WC-2022-242,2022,2022-10-25,Australia,Sri Lanka,Australia,158-3 (16.3),157-6 (20),7 wickets,Perth,Australia,T20I # 1845,76.47,80.0,73.2,87.38,7,1,7,1,56.0
T20WC-2022-243,2022,2022-10-26,England,Ireland,Ireland,105-5 (14.3),157 (19.2),5 runs,Melbourne,Australia,T20I # 1846,80.8,94.13,72.33,98.27,7,1,6,0,0.0
T20WC-2022-244,2022,2022-10-27,Pakistan,Zimbabwe,Zimbabwe,129-8 (20),130-8 (20),1 run,Perth,Australia,T20I # 1849,83.67,98.4,84.2,91.8,7,1,4,0,94.11
T20WC-2022-245,2022,2022-10-27,India,Netherlands,India,179-2 (20),123-9 (20),56 runs,Sydney,Australia,T20I # 1848,78.27,96.81,71.73,96.25,7,1,4,0,0.0
T20WC-2022-246,2022,2022-10-27,Bangladesh,South Africa,South Africa,101 (16.3),205-5 (20),104 runs,Sydney,Australia,T20I # 1847,98.2,66.86,85.33,70.57,7,0,7,0,0.0
T20WC-2022-247,2022,2022-10-29,New Zealand,Sri Lanka,New Zealand,167-7 (20),102 (19.2),65 runs,Sydney,Australia,T20I # 1850,69.6,80.77,69.87,86.54,7,0,7,1,52.63
