stat,stat_label,rank,Player,Span,Mat,Inns,NO,Runs,HS,Ave,BF,SR,100s,50s,Ducks,4s,6s,Balls,Overs,Mdns,Wkts,BBI,Econ,4w,5w,Team,Opposition,Ground,Match Date,Match ID,10w,Series
most_five_wicket_hauls,Most Five-Wicket Hauls (career),2,MA Starc (AUS),2015-2023,28.0,28.0,,1254,,19.29,,22.44,,,,,,1459.0,243.1,10.0,65.0,6/28,5.15,3.0,3.0,,,,,,0.0,
most_five_wicket_hauls,Most Five-Wicket Hauls (career),3,GJ Gilmour (AUS),1975-1975,2.0,2.0,,62,,5.63,,13.09,,,,,,144.0,24.0,8.0,11.0,6/14,2.58,0.0,2.0,,,,,,0.0,
most_five_wicket_hauls,Most Five-Wicket Hauls (career),4,VC Drakes (WI),2003-2003,6.0,6.0,,208,,13.0,,19.43,,,,,,311.0,51.5,7.0,16.0,5/33,4.01,0.0,2.0,,,,,,0.0,
most_five_wicket_hauls,Most Five-Wicket Hauls (career),5,ALF de Mel (SL),1983-1987,9.0,9.0,,449,,24.94,,30.11,,,,,,542.0,90.2,13.0,18.0,5/32,4.97,0.0,2.0,,,,,,0.0,
most_five_wicket_hauls,Most Five-Wicket Hauls (career),6,Shaheen Shah Afridi (PAK),2019-2023,14.0,14.0,,715,,21.02,,22.61,,,,,,769.0,128.1,6.0,34.0,6/35,5.57,1.0,2.0,,,,,,0.0,
most_five_wicket_hauls,Most Five-Wicket Hauls (career),7,Mustafizur Rahman (BAN),2019-2023,16.0,16.0,,882,,35.28,,33.08,,,,,,827.0,137.5,5.0,25.0,5/59,6.39,0.0,2.0,,,,,,0.0,
most_five_wicket_hauls,Most Five-Wicket Hauls (career),8,Shahid Afridi (PAK),1999-2015,27.0,24.0,,831,,27.7,,36.8,,,,,,1104.0,184.0,7.0,30.0,5/16,4.51,2.0,2.0,,,,,,0.0,
most_five_wicket_hauls,Most Five-Wicket Hauls (career),9,GD McGrath (AUS),1996-2007,39.0,39.0,,1292,,18.19,,27.53,,,,,,1955.0,325.5,42.0,71.0,7/15,3.96,0.0,2.0,,,,,,0.0,
most_five_wicket_hauls,Most Five-Wicket Hauls (career),10,R Rampaul (WI),2011-2011,2.0,2.0,,79,,15.8,,18.0,,,,,,90.0,15.0,1.0,5.0,5/51,5.26,0.0,1.0,,,,,,0.0,
most_five_wicket_hauls,Most Five-Wicket Hauls (career),11,A Codrington (CAN),2003-2003,5.0,4.0,,129,,21.5,,25.0,,,,,,150.0,25.0,4.0,6.0,5/27,5.16,0.0,1.0,,,,,,0.0,
