stat,stat_label,rank,Player,Span,Mat,Inns,NO,Runs,HS,Ave,BF,SR,100s,50s,Ducks,4s,6s,Balls,Overs,Mdns,Wkts,BBI,Econ,4w,5w,Team,Opposition,Ground,Match Date,Match ID,10w,Series
most_runs_conceded,Most Runs Conceded (innings),16,Shoriful Islam,,,,,57,,,,,,,,,,,4.0,0.0,0.0,,14.25,,,Bangladesh,v India,Adelaide,2 Nov 2022,T20I #1860,,
most_runs_conceded,Most Runs Conceded (innings),17,B Lee,,,,,56,,,,,,,,,,,4.0,0.0,1.0,,14.0,,,Australia,v West Indies,The Oval,6 Jun 2009,T20I #92,,
most_runs_conceded,Most Runs Conceded (innings),18,Izatullah Dawlatzai,,,,,56,,,,,,,,,,,3.0,0.0,2.0,,18.66,,,Afghanistan,v England,Colombo (RPS),21 Sep 2012,T20I #268,,
most_runs_conceded,Most Runs Conceded (innings),19,MP Stoinis,,,,,56,,,,,,,,,,,4.0,0.0,2.0,,14.0,,,Australia,v India,Gros Islet,24 Jun 2024,T20I #2721,,
most_runs_conceded,Most Runs Conceded (innings),20,LV van Beek,,,,,56,,,,,,,,,,,4.0,0.0,3.0,,14.0,,,Netherlands,v India,Ahmedabad,18 Feb 2026,T20I #3723,,
most_five_wicket_hauls,Most Five-Wicket Hauls (career),1,JP Faulkner (AUS),2014-2016,5.0,5.0,,133,,16.62,,12.62,,,,,,101.0,16.5,0.0,8.0,5/27,7.9,0.0,1.0,,,,,,0.0,
most_five_wicket_hauls,Most Five-Wicket Hauls (career),2,R Shepherd (WI),2024-2026,9.0,8.0,,192,,24.0,,13.75,,,,,,110.0,18.2,0.0,8.0,5/20,10.47,0.0,1.0,,,,,,0.0,
most_five_wicket_hauls,Most Five-Wicket Hauls (career),3,Junaid Siddique (UAE),2022-2026,7.0,7.0,,223,,20.27,,14.0,,,,,,154.0,25.4,0.0,11.0,5/35,8.68,0.0,1.0,,,,,,0.0,
most_five_wicket_hauls,Most Five-Wicket Hauls (career),4,Ahsan Malik (NED),2014-2016,9.0,8.0,,171,,14.25,,12.91,,,,,,155.0,25.5,0.0,12.0,5/19,6.61,0.0,1.0,,,,,,0.0,
most_five_wicket_hauls,Most Five-Wicket Hauls (career),5,HMRKB Herath (SL),2012-2016,10.0,10.0,,214,,16.46,,16.38,,,,,,213.0,35.3,3.0,13.0,5/3,6.02,0.0,1.0,,,,,,0.0,
most_five_wicket_hauls,Most Five-Wicket Hauls (career),6,Mujeeb Ur Rahman (AFG),2021-2026,11.0,11.0,,284,,16.7,,14.82,,,,,,252.0,42.0,0.0,17.0,5/20,6.76,0.0,1.0,,,,,,0.0,
most_five_wicket_hauls,Most Five-Wicket Hauls (career),7,Fazalhaq Farooqi (AFG),2022-2026,13.0,13.0,,292,,13.9,,12.23,,,,,,257.0,42.5,1.0,21.0,5/9,6.81,1.0,1.0,,,,,,0.0,
most_five_wicket_hauls,Most Five-Wicket Hauls (career),8,SM Curran (ENG),2022-2026,19.0,18.0,,468,,21.27,,15.36,,,,,,338.0,56.2,0.0,22.0,5/10,8.3,0.0,1.0,,,,,,0.0,
most_five_wicket_hauls,Most Five-Wicket Hauls (career),9,AJ Hosein (WI),2021-2026,21.0,21.0,,524,,22.78,,19.3,,,,,,444.0,74.0,2.0,23.0,5/11,7.08,0.0,1.0,,,,,,0.0,
most_five_wicket_hauls,Most Five-Wicket Hauls (career),10,BAW Mendis (SL),2009-2014,21.0,21.0,,526,,15.02,,13.45,,,,,,471.0,78.3,3.0,35.0,6/8,6.7,1.0,1.0,,,,,,0.0,
